timestamp,open,high,low,close,volume
2017-08-15,924.2300,926.5499,919.8200,922.2200,873070
2017-08-14,922.5300,924.6680,918.1900,922.6700,1047828
2017-08-11,907.9700,917.7800,905.5800,914.3900,1190458
2017-08-10,917.5500,919.2600,906.1300,907.2400,1722296
2017-08-09,920.6100,925.9800,917.2501,922.9000,1169431
2017-08-08,927.0900,935.8140,925.6095,926.7900,1039394
2017-08-07,929.0600,931.7000,926.5000,929.3600,1012296
2017-08-04,926.7500,930.3070,923.0300,927.9600,1019159
2017-08-03,930.3400,932.2400,922.2400,923.6500,1179126
2017-08-02,928.6100,932.6000,916.6800,930.3900,1816343
2017-08-01,932.3800,937.4470,929.2600,930.8300,1211553
2017-07-31,941.8900,943.5900,926.0400,930.5000,1952716
2017-07-28,929.4000,943.8300,927.5000,941.5300,1775076
2017-07-27,951.7800,951.7800,920.0000,934.0900,3095263
2017-07-26,954.6800,955.0000,942.2790,947.8000,2056013
2017-07-25,953.8100,959.7000,945.4000,950.7000,4626086
2017-07-24,972.2200,986.2000,970.7700,980.3400,2634669
2017-07-21,962.2500,973.2300,960.1500,972.9200,1665103
2017-07-20,975.0000,975.9000,961.5100,968.1500,1577103
2017-07-19,967.8400,973.0400,964.0300,970.8900,1212814
2017-07-18,953.0000,968.0400,950.6000,965.4000,1131130
2017-07-17,957.0000,960.7400,949.2410,953.4200,1141026
2017-07-14,952.0000,956.9100,948.0050,955.9900,1017632
2017-07-13,946.2900,954.4500,943.0100,947.1600,1291782
2017-07-12,938.6800,946.3000,934.4700,943.8300,1505982
2017-07-11,929.5400,931.4300,922.0000,930.0900,1093281
2017-07-10,921.7700,930.3800,919.5900,928.8000,1189085
2017-07-07,908.8500,921.5400,908.8500,918.5900,1588034
2017-07-06,904.1200,914.9444,899.7000,906.6900,1409533
2017-07-05,901.7600,914.5100,898.5000,911.7100,1743497
2017-07-03,912.1800,913.9400,894.7900,898.7000,1710189
2017-06-30,926.0500,926.0500,908.3100,908.7300,2035931
2017-06-29,929.9200,931.2600,910.6200,917.7900,3248393
2017-06-28,929.0000,942.7500,916.0000,940.4900,2712222
2017-06-27,942.4600,948.2900,926.8500,927.3300,2553771
2017-06-26,969.9000,973.3100,950.7900,952.2700,1581031
2017-06-23,956.8300,966.0000,954.2000,965.5900,1394008
2017-06-22,958.7000,960.7200,954.5500,957.0900,940373
2017-06-21,953.6400,960.1000,950.7600,959.4500,1192342
2017-06-20,957.5200,961.6200,950.0100,950.6300,1111840
2017-06-19,949.9600,959.9900,949.0500,957.3700,1494191
2017-06-16,940.0000,942.0400,931.5950,939.7800,2921393
2017-06-15,933.9700,943.3390,924.4400,942.3100,2055953
2017-06-14,959.9200,961.1500,942.2500,950.7600,1477033
2017-06-13,951.9100,959.9800,944.0900,953.4000,1995350
2017-06-12,939.5600,949.3550,915.2330,942.9000,3731589
2017-06-09,984.5000,984.5000,935.6300,949.8300,3270248
2017-06-08,982.3500,984.5700,977.2000,983.4100,1451232
2017-06-07,980.0000,983.9800,975.9400,980.9400,1429834
2017-06-06,983.1600,988.2500,975.1400,976.5700,1796904
2017-06-05,976.5500,986.9100,975.1000,983.6800,1221971
2017-06-02,969.4600,975.8800,966.0000,975.6000,1717212
2017-06-01,968.9500,971.5000,960.0100,966.9500,1403200
2017-05-31,975.0200,979.2700,960.1800,964.8600,2426589
2017-05-30,970.3100,976.2000,969.4900,975.8800,1455686
2017-05-26,969.7000,974.9800,965.0300,971.4700,1246186
2017-05-25,957.3300,972.6290,955.4700,969.5400,1645873
2017-05-24,952.9800,955.0900,949.5000,954.9600,990248
2017-05-23,947.9200,951.4670,942.5750,948.8200,1259285
2017-05-22,935.0000,941.8830,935.0000,941.8600,1092176
2017-05-19,931.4700,937.7550,931.0000,934.0100,1382221
2017-05-18,921.0000,933.1700,918.7500,930.2400,1586465
2017-05-17,935.6700,939.3330,918.1400,919.6200,2323389
2017-05-16,940.0000,943.1100,937.5800,943.0000,956692
2017-05-15,932.9500,938.2500,929.3400,937.0800,1094283
2017-05-12,931.5300,933.4400,927.8500,932.2200,1038409
2017-05-11,925.3200,932.5300,923.0300,930.6000,830838
2017-05-10,931.9800,932.0000,925.1600,928.7800,1170055
2017-05-09,936.9500,937.5000,929.5300,932.1700,1575628
2017-05-08,926.1200,936.9250,925.2600,934.3000,1319052
2017-05-05,933.5400,934.9000,925.2000,927.1300,1904731
2017-05-04,926.0700,935.9300,924.5900,931.6600,1405844
2017-05-03,914.8600,928.1000,912.5430,927.0400,1477329
2017-05-02,909.6200,920.7700,909.4530,916.4400,1520766
2017-05-01,901.9400,915.6800,901.4500,912.5700,2100457
2017-04-28,910.6600,916.8500,905.7700,905.9600,3160585
2017-04-27,873.6000,875.4000,870.3800,874.2500,1734197
2017-04-26,874.2300,876.0500,867.7480,871.7300,1188464
2017-04-25,865.0000,875.0000,862.8100,872.3000,1654161
2017-04-24,851.2000,863.4500,849.8600,862.7600,1371581
2017-04-21,842.8800,843.8800,840.6000,843.1900,1323583
2017-04-20,841.4400,845.2000,839.3200,841.6500,959031
2017-04-19,839.7900,842.2200,836.2900,838.2100,954330
2017-04-18,834.2200,838.9300,832.7100,836.8200,836722
2017-04-17,825.0100,837.7500,824.4700,837.1700,895015
2017-04-13,822.1400,826.3800,821.4400,823.5600,1122362
2017-04-12,821.9300,826.6600,821.0200,824.3200,900480
2017-04-11,824.7100,827.4270,817.0200,823.3500,1079732
2017-04-10,825.3900,829.3500,823.7700,824.7300,978905
2017-04-07,827.9600,828.4850,820.5130,824.6700,1056692
2017-04-06,832.4000,836.3900,826.4600,827.8800,1254433
2017-04-05,835.5100,842.4500,830.7200,831.4100,1555328
2017-04-04,831.3600,835.1800,829.0360,834.5700,1045363
2017-04-03,829.2200,840.8500,829.2200,838.5500,1671503
2017-03-31,828.9700,831.6400,827.3900,829.5600,1401893
2017-03-30,833.5000,833.6800,829.0000,831.5000,1055339
2017-03-29,825.0000,832.7650,822.3800,831.4100,1786321
2017-03-28,820.4100,825.9900,814.0270,820.9200,1620542
2017-03-27,806.9500,821.6300,803.3700,819.5100,1894990
2017-03-24,820.0800,821.9300,808.8900,814.4300,1981006
2017-03-23,821.0000,822.5700,812.2570,817.5800,3487056
2017-03-22,831.9100,835.5500,827.1800,829.5900,1401465
2017-03-21,851.4000,853.5000,829.0200,830.4600,2463484
2017-03-20,850.0100,850.2200,845.1500,848.4000,1231521
2017-03-17,851.6100,853.4000,847.1100,852.1200,1716471
2017-03-16,849.0300,850.8500,846.1300,848.7800,977560
2017-03-15,847.5900,848.6300,840.7700,847.2000,1381474
2017-03-14,843.6400,847.2400,840.8000,845.6200,780198
2017-03-13,844.0000,848.6850,843.2500,845.5400,1223647
